company,date,invesgate,money,round,type,zone
风先生,2017.8.31,道生投资 浙江执御信息技术有限公司,数千万美元,C轮,物流,浙江
小爱智能科技,2017.8.30,麦兔旅行网,500万人民币,天使轮,企业服务,北京
中能鼎立,2017.8.30,慧聪网 产业投资人Aym女士,2000万人民币,Pre-A轮,电子商务,江苏
番茄便利,2017.8.30,IDG资本 英诺天使基金,数千万人民币,A轮,本地生活,上海
乐百分,2017.8.30,恒生电子 合源资本 恒业基金,8000万人民币,Pre-A轮,金融,上海
云端智度,2017.8.30,投资方未透露,3200万人民币,A轮,企业服务,北京
果小美,2017.8.30,蓝驰创投 IDG资本 峰瑞资本,数千万美元,A轮,本地生活,四川
e锂租车,2017.8.30,Y.Z.CAPITAL原质资本,未透露,天使轮,汽车交通,江苏
Appier,2017.8.30,软银中国 Line Naver EDBI AMTD,3300万美元,C轮,硬件,台湾
OurBike,2017.8.30,零一创投,300万人民币,天使轮,汽车交通,北京
奇幻森林,2017.8.30,左驭资本,3000万人民币,A轮,文化娱乐,北京
彩泥云南菜,2017.8.30,高瓴资本 海底捞,数千万人民币,A轮,本地生活,上海
三感Video,2017.8.30,梅花天使创投 辰海资本,2000万人民币,A轮,文化娱乐,北京
水滴互助,2017.8.30,腾讯 蓝驰创投 创新工场 美团(新美大) 高榕资本 IDG资本 彤程公益基金会,1.6亿人民币,A轮,金融,北京
胡桃盒子,2017.8.30,君联资本 红杉资本中国 奇虎360 清科创投,数千万美元,A轮,医疗健康,四川
秒啊时交所,2017.8.29,洪泰基金 朗玛峰创投 宣亚国际 映客APP,数千万人民币,A轮,本地生活,湖北
开始吧-开始众筹,2017.8.29,云锋基金 晟道投资,1.9亿人民币,C轮,金融,浙江
找大状,2017.8.29,达晨创投,数千万人民币,A轮,企业服务,广东
瑞尔齿科,2017.8.29,高盛集团(中国) 高瓴资本,9000万美元,D轮,医疗健康,北京
JIZHI集致香氛,2017.8.29,千树资本,数百万人民币,Pre-A轮,电子商务,北京
申乙文创,2017.8.29,投资方未透露,未透露,新三板,文化娱乐,重庆
贝壳林,2017.8.29,投资方未透露,数千万人民币,天使轮,金融,四川
竞航科技,2017.8.29,投资方未透露,未透露,新三板,硬件,浙江
黑蚁文创,2017.8.29,投资方未透露,未透露,新三板,广告营销,四川
中苏科技,2017.8.29,投资方未透露,未透露,新三板,农业,江苏
赛维电商,2017.8.29,厦门鑫瑞集泰股权投资合伙企业（有限合伙）,2.22亿人民币,IPO上市后,电子商务,广东
互联派,2017.8.29,梅花天使创投,数百万人民币,Pre-A轮,教育,辽宁
天众体育,2017.8.29,曜为资本 北极光创投,2000万人民币,A+轮,体育运动,上海
颜值招聘,2017.8.29,投资方未透露,数百万人民币,天使轮,企业服务,上海
北京杰思安全科技有限公司,2017.8.29,VANGOO盘古创富,3000万人民币,A轮,企业服务,北京
一号媒婆,2017.8.28,投资方未透露,2500万人民币,Pre-A轮,社交网络,天津
收客易,2017.8.28,金豆云旅游,数千万人民币,战略投资,旅游,广东
广州畅途汽车,2017.8.28,新励资本,数千万人民币,A+轮,汽车交通,广东
联动原素,2017.8.28,上海物联网有限公司,数百万人民币,Pre-A轮,文化娱乐,上海
卓正医疗,2017.8.28,天图资本 中金公司 前海母基金 经纬中国 水木清华校友基金,4000万美元,C轮,医疗健康,广东
长风药业,2017.8.28,国投创新投资 建银国际 前海元明 隆门投资 恒宇天泽,4.4亿人民币,D轮,医疗健康,江苏
头等仓,2017.8.28,光大安石,数千万人民币,Pre-A轮,物流,上海
Fotor恒图科技,2017.8.28,广发信德-广发证券,5000万人民币,B轮,工具软件,四川
九洲天旗,2017.8.28,中文在线,3600万人民币,A轮,文化娱乐,北京
mikibobo隅田川,2017.8.28,翊翎资本,数千万人民币,A轮,电子商务,浙江
康方生物,2017.8.28,深圳高特佳 深创投 前海母基金 前海勤智资本,3亿人民币,B轮,医疗健康,广东
HoloMatic禾多科技,2017.8.28,贝塔斯曼亚洲投资基金,数千万美元,A轮,汽车交通,北京
七牛云,2017.8.28,阿里巴巴 云锋基金,10亿人民币,E轮,企业服务,上海
神奇互娱,2017.8.28,华耀资本,数千万人民币,Pre-A轮,文化娱乐,北京
Ghostcloud精灵云,2017.8.28,中美创投,2000万人民币,A轮,企业服务,四川
魔力耳朵,2017.8.28,真格基金 猿题库(猿辅导) 真格教育基金,4000万人民币,A轮,教育,北京
怪咔先生,2017.8.28,连创资本,数百万人民币,天使轮,本地生活,上海
我爱轮胎网,2017.8.28,春晓资本 慧聪网,6000万人民币,Pre-A轮,汽车交通,北京
好运虎,2017.8.28,DCM中国 零一创投 君上资本,700万美元,A轮,物流,上海
瑞博恩汽车金融,2017.8.28,洪泰基金 复之硕资本-安硕信息 蔷薇资本,2000万人民币,Pre-A轮,汽车交通,上海
悦享趋势,2017.8.28,将门创投 辰海资本 北京挑战,数千万人民币,Pre-A轮,硬件,北京
火球科技-火球买手,2017.8.28,华映资本 远镜创投 赛富基金,3500万人民币,A轮,电子商务,浙江
Cozitrip,2017.8.26,Follow The Seed,未透露,A轮,房产服务,北京
锌财经,2017.8.25,野风集团,1000万人民币,天使轮,文化娱乐,浙江
劲松口腔,2017.8.25,泰康资产,2亿人民币,战略投资,医疗健康,北京
房司令,2017.8.25,玖富 唯猎资本 玖创资本 赢知资本 明道金控,3亿人民币,E轮,房产服务,江苏
昭衍新药,2017.8.25,投资方未透露,未透露,IPO上市,医疗健康,北京
千鸽汽车服务,2017.8.25,投资方未透露,数百万人民币,天使轮,汽车交通,广东
助商贷,2017.8.25,头狼资本-头狼金服 财狼资本,数千万人民币,A轮,汽车交通,四川
橙子自动化,2017.8.25,经纬中国 明势资本 祥峰投资 上海柯投企业管理合伙企业,2800万人民币,A轮,硬件,广东
都市鼎点,2017.8.25,和晶科技,未透露,战略投资,金融,北京
海对面,2017.8.25,梅花天使创投,数百万人民币,天使轮,文化娱乐,北京
集行神州,2017.8.25,探针创投 拙赢资管,2500万人民币,战略投资,物流,上海
养车无忧网,2017.8.25,杭州资典资产管理有限公司,数千万人民币,战略投资,汽车交通,上海
车e融,2017.8.25,陶石资本,1500万人民币,战略投资,汽车交通,北京
小鹿乱撞,2017.8.25,翊翎资本 东方富海 富海9000 富海天健,1500万人民币,Pre-A轮,文化娱乐,广东
Akoko,2017.8.25,老鹰基金 杭州老鹰基金,数千万人民币,天使轮,电子商务,浙江
仁可科技,2017.8.25,投资方未透露,未透露,天使轮,金融,上海
分期管家,2017.8.24,51信用卡 薛蛮子(蛮子基金),数千万人民币,A轮,金融,浙江
锦佰安SecID,2017.8.24,永洲创投 基石资本 苹果天使APU 苏州合融慧,1500万人民币,Pre-A轮,企业服务,江苏
八通生物,2017.8.24,投资方未透露,未透露,新三板,医疗健康,上海
侨森医疗,2017.8.24,投资方未透露,未透露,新三板,医疗健康,山东
MyMoney智能投顾,2017.8.24,投资方未透露,100万人民币,种子轮,金融,北京
acg国际艺术教育,2017.8.24,长方集团,1亿人民币,战略投资,教育,北京
叮当派,2017.8.24,汇杰投资 成瑞投资,数千万人民币,Pre-A轮,教育,上海
NOTHING决简科技,2017.8.24,联创永宣,数千万人民币,A轮,社交网络,浙江
全息科技,2017.8.24,香港易生活,2000万人民币,天使轮,硬件,广东
友乐国际传媒,2017.8.24,Vision  Wide Mobile,数百万人民币,Pre-A轮,广告营销,北京
茶语网,2017.8.24,头头是道投资基金 时尚传媒,数千万人民币,A+轮,农业,重庆
找油网,2017.8.24,DCM中国 货车帮 SIG海纳亚洲 云九资本 云启资本 纪源资本GGV 伙伴创投,3180万美元,B轮,电子商务,上海
珠江钢琴,2017.8.23,国寿基金 新华基金,10.9亿人民币,IPO上市后,硬件,广东
极智汇,2017.8.23,天星资本 思美复聚,数千万人民币,A轮,广告营销,北京
mobrella漂流伞,2017.8.23,戈壁投资 创新谷Innovalley 哈匹,1000万人民币,Pre-A轮,本地生活,广东
4K花园,2017.8.23,合一资本 前海母基金 南方媒体融合基金 山东广电网络,6000万人民币,A轮,工具软件,北京
VIPKID大米科技,2017.8.23,红杉资本中国 腾讯 真格基金 经纬中国 云锋基金 ZTwo Capital,2亿美元,D轮,教育,北京
卖好车,2017.8.23,微光创投(吴宵光) 北极光创投 LBI,2亿人民币,B轮,汽车交通,浙江
保准牛,2017.8.23,远毅资本 彭笑玫 新毅资产 经纬中国 大河创投,1亿人民币,B轮,金融,北京
水滴管家,2017.8.22,中国平安 平安好房,数千万人民币,战略投资,房产服务,上海
Onchain分布科技,2017.8.22,复星集团,数千万人民币,天使轮,金融,上海
融聚邻里社区教育,2017.8.22,海捷投资,数千万人民币,A轮,教育,北京
中国出版传媒,2017.8.22,投资方未透露,未透露,IPO上市,文化娱乐,北京
蓝天实验室,2017.8.22,青域基金,数百万人民币,天使轮,企业服务,湖南
优客工场URWork,2017.8.22,KCC城建股份,2亿人民币,C轮,房产服务,北京
大锤资产,2017.8.22,百融金服,数千万人民币,A+轮,金融,北京
买果果,2017.8.22,投资方未透露,200万人民币,种子轮,电子商务,河南
CrazyMoles疯狂鼹鼠,2017.8.22,投资方未透露,120万人民币,种子轮,电子商务,湖南
卓外医疗,2017.8.22,张科领弋基金,1500万人民币,Pre-A轮,医疗健康,上海
快用云通讯,2017.8.22,天鹰资本 谷银国际投资基金 天香资本,数千万人民币,Pre-A轮,工具软件,北京
大唐汉方,2017.8.22,投资方未透露,未透露,新三板,医疗健康,云南
湖南旺府,2017.8.22,投资方未透露,未透露,新三板,本地生活,湖南
盖雅工场 GaiaWorks,2017.8.22,华平投资WI Harper Group 元生资本 经纬中国,1.3亿人民币,B+轮,企业服务,江苏
态金科技,2017.8.22,蓝源投资,数千万人民币,A轮,硬件,北京
视+AR,2017.8.22,汽车之家,亿元及以上人民币,A+轮,企业服务,上海
大众侃车,2017.8.22,渝隆集团,数千万人民币,A+轮,汽车交通,北京
艺点品牌策划,2017.8.22,重庆市产业基金 猪八戒网 英飞尼迪Infinity 宗申集团 重庆大足国资集团 山水投资,亿元及以上人民币,A+轮,企业服务,天津
热辣生活,2017.8.22,高榕资本 经纬中国 五岳资本,1.4亿人民币,B轮,本地生活,北京
WinTalent大易云计算,2017.8.21,用友网络,6711万人民币,战略投资,企业服务,上海
ZenAir承云,2017.8.21,PreAngel,数百万人民币,天使轮,金融,浙江
宽惠网络,2017.8.21,投资方未透露,未透露,新三板,企业服务,上海
银狐科技,2017.8.21,投资方未透露,未透露,新三板,硬件,广东
